elem_id;set_dt;remark;mode;limit_press
1513;2022-08-28 07:33:00.000;Снято ограничение Р. Формуляр №7-22 от 07.07.2022;0;64.40
11882;2022-08-28 07:33:00.000;Снято ограничение Р. Формуляр №7-22 от 07.07.2022;0;64.40
11883;2022-08-28 07:33:00.000;Снято ограничение Р. Формуляр №7-22 от 07.07.2022;0;64.40
1513;2022-08-28 07:35:00.000;Снято ограничение РРД. Формуляр №7-22 от 07.07.2022;0;NULL
11882;2022-08-28 07:35:00.000;Снято ограничение РРД. Формуляр №7-22 от 07.07.2022;0;NULL
11883;2022-08-28 07:35:00.000;Снято ограничение РРД. Формуляр №7-22 от 07.07.2022;0;NULL
6599;2022-08-29 07:23:00.000;Участок включен в работу.;0;NULL
8423;2022-08-31 10:00:00.000;Изменение ограничения РРД ФП № БУ-2 от 31.08.22;1;23.50
9876;2022-08-31 10:00:00.000;Изменение ограничения РРД ФП № БУ-2 от 31.08.22;1;40.30
9967;2022-08-31 10:00:00.000;Изменение ограничения РРД ФП № БУ-2 от 31.08.22;1;40.30
6599;2022-09-06 06:23:00.000;Подготовительные работы по демонтажу временной КПОУ;2;NULL
6733;2022-09-06 15:11:00.000;Работы по замене кранов на ГО к ГРС Красночабанский;1;NULL
